id,condition,activitymirror_PSA1,activitymirror_PSA2,activitymirror_PSA3,activitymirror_PSA4,activityreflect_PSA1,activityreflect_PSA2,activityreflect_PSA3,activityreflect_PSA4,activitysee_PSA1,activitysee_PSA2,activitysee_PSA3,activitysee_PSA4,believe_PSA1,believe_PSA2,believe_PSA3,believe_PSA4,cred_PSA1,cred_PSA2,cred_PSA3,cred_PSA4,imp_PSA1,imp_PSA2,imp_PSA3,imp_PSA4,modelmirror_PSA1,modelmirror_PSA2,modelmirror_PSA3,modelmirror_PSA4,modelreflect_PSA1,modelreflect_PSA2,modelreflect_PSA3,modelreflect_PSA4,modelsee_PSA1,modelsee_PSA2,modelsee_PSA3,modelsee_PSA4,muchlikeme_PSA1,muchlikeme_PSA2,muchlikeme_PSA3,muchlikeme_PSA4,new_PSA1,new_PSA2,new_PSA3,new_PSA4,peoplesimilar_PSA1,peoplesimilar_PSA2,peoplesimilar_PSA3,peoplesimilar_PSA4,recommend_PSA1,recommend_PSA2,recommend_PSA3,recommend_PSA4,think_PSA1,think_PSA2,think_PSA3,think_PSA4,unconv_PSA1,unconv_PSA2,unconv_PSA3,unconv_PSA4
P001,smoke,2,3,4,2,2,4,4,3,2,4,4,3,4,5,4,4,4,4,4,3,4,5,4,4,2,2,3,2,2,3,4,3,2,4,4,4,2,4,4,4,4,3,4,4,2,4,4,4,3,3,2,3,3,5,5,5,2,2,2,1
P002,vape,1,1,1,1,2,3,3,1,2,2,4,1,2,2,4,2,2,2,3,1,3,3,3,2,1,1,1,1,1,1,2,1,2,1,1,1,4,3,3,4,4,4,1,2,4,4,4,4,3,3,3,3,2,4,2,1,4,4,4,4
P003,sports,3,2,3,3,2,3,3,3,2,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,2,3,4,2,2,4,3,4,2,4,4,4,3,3,4,3,2,2,2,4,4,3,4,3,2,1,1,1,4,4,4,4,3,2,2,2
P004,smoke,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P006,smoke,1,2,3,2,2,2,4,2,2,1,2,4,4,4,2,3,4,4,4,4,5,5,4,4,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,3,4,4,1,2,1,2,4,4,1,1,1,1,4,4,3,4,2,2,3,4
P007,vape,2,2,2,2,4,2,2,3,4,2,2,3,4,4,4,2,3,4,3,2,4,4,4,2,2,2,2,2,3,2,2,4,4,4,4,4,3,2,2,3,3,4,2,4,3,4,4,3,3,3,3,3,4,4,3,2,4,3,3,4
P008,sports,2,3,1,3,2,4,4,4,2,2,2,4,4,4,3,4,4,4,3,4,4,4,3,5,1,2,1,3,2,2,2,4,2,2,2,4,2,4,2,4,3,3,3,4,3,4,2,4,2,2,3,1,3,3,4,4,2,2,3,2
P009,vape,2,3,3,3,3,3,2,2,2,3,4,2,4,4,2,4,4,4,2,3,4,4,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,3,3,3,4,1,2,4,4,4,3,3,2,3,3,3,4,1,4,3,2,5,4
P010,novape,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,3,3,4,4,4,3,2,2,4,4
P011,smoke,2,1,2,2,1,2,1,1,1,1,2,2,5,4,3,4,4,3,2,3,4,4,3,3,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,1,2,1,2,1,2,1,2,3,2,4,3,2,2,2,3,4,3
P012,vape,2,3,2,2,2,2,2,2,2,4,2,2,5,4,4,2,4,5,4,3,5,4,4,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,5,5,5,5,2,2,2,2,1,1,1,3,5,4,4,4,1,2,2,5
P013,novape,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,5,5,2,3,5,4,4,5,5,1,1,1,1,5,5,4,5,2,2,2,1
P014,novape,2,2,2,2,3,2,2,2,4,4,2,2,4,4,2,2,4,3,2,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,2,1,3,4,2,2,1,1,3,3,4,4,4,4,2,3,4,2
P015,sports,2,5,2,3,2,5,2,5,2,5,2,5,5,5,3,5,3,3,3,3,5,5,3,5,2,5,2,3,2,5,2,5,2,5,3,5,2,5,4,4,3,3,4,3,2,5,4,4,3,1,3,1,4,5,4,5,2,2,3,2
P016,vape,3,3,3,2,3,2,3,3,3,3,3,3,4,4,4,4,4,5,3,5,5,5,5,5,3,3,3,2,3,2,3,3,3,3,3,3,4,3,4,3,4,5,5,4,3,3,4,3,1,1,1,1,4,5,4,4,2,1,2,1
P017,novape,1,1,1,1,2,3,2,2,3,2,3,3,4,3,4,4,4,4,4,4,3,3,4,3,1,1,1,1,2,3,2,2,3,2,3,3,1,1,1,3,3,3,3,3,1,2,1,3,2,3,2,2,4,4,4,4,3,4,2,3
P018,smoke,1,1,1,1,1,1,3,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,3,1,1,1,1,1,5,5,5,5,1,1,1,1
P019,vape,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,3,3,2,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,4,2,3,3,3,4,3,4
P020,smoke,2,1,1,2,2,2,2,2,1,1,2,2,5,3,4,5,5,4,5,5,5,4,4,5,2,1,1,1,2,1,1,2,2,1,1,3,3,1,1,4,5,2,2,2,3,2,1,3,1,3,2,1,5,3,3,5,1,3,2,1
P021,sports,3,3,2,3,3,3,2,3,3,4,2,4,4,4,3,4,5,3,2,4,5,5,4,5,2,2,1,2,2,2,2,2,3,2,2,3,2,2,2,3,5,2,2,3,2,2,2,2,1,1,2,1,2,4,3,4,3,2,3,2
P022,vape,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,5,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,4,3,3,4,4,4,4,3,3,2,2,2,3,4,4,3,4,2,2
